"","miRNA_ID","logFC","logCPM","F","PValue","FDR","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"84","rno-miR-93-5p",-0.302576684567031,7.35780880941882,4.60762183467167,0.0516296962475102,0.496013867520723,1121,1186,1227,1133,1027,1043,164.903866524095,190.242560043316,181.617309185129,141.473841400439,133.238739913777,160.672322634822
"85","rno-miR-433-3p",0.31206088781879,8.57118601813415,4.56958189300116,0.0524688715271922,0.498145639087577,2657,1737,2317,3634,3319,2424,390.855997640071,278.626751092108,342.956239105089,453.765171799819,430.593357131281,373.412953084189
"86","rno-miR-431",0.965848320735913,5.50291080644256,5.03373158696964,0.0607928241397824,0.567334116702665,233,172,176,253,339,627,34.2752907226709,27.58998341269,26.051056574232,31.5912461379621,43.9804603999712,96.5882514784597
"87","rno-miR-341",0.247903812577333,10.368846451691,4.21034568802041,0.0612540003284916,0.567334116702665,9309,7009,7612,11047,12391,8535,1369.39348213452,1124.29182406712,1126.70819683553,1379.40117030066,1607.55718234821,1314.80179644123
"88","rno-let-7a-1-3p",-0.334348540333464,5.49449712560381,4.57480364088153,0.0625684465756347,0.567334116702665,308,285,359,304,293,249,45.3081096248181,45.7159608873061,53.1382347167574,37.9594419997648,38.0126103161993,38.3580137450342
"89","rno-let-7i-3p",-0.430424436546108,4.81034913072677,6.51754254619044,0.0623325478682477,0.567334116702665,190,200,201,189,159,145,27.9498078854398,32.0813760612674,29.7514907467082,23.5997846643274,20.628003550429,22.3369959559436
"90","rno-miR-322-3p",0.395255930641549,5.11747735123443,4.08753287846232,0.0646544037891742,0.579734487309596,196,173,190,220,342,258,28.8324333976115,27.7503902929963,28.1232997108187,27.4706488156192,44.3696680141302,39.7444479767825
"91","rno-miR-199a-3p",0.766069638421872,5.98042496589091,4.61652145473102,0.0667661709119717,0.592091207977595,359,250,289,309,849,535,52.8104264782783,40.1017200765843,42.7770190338242,38.5837749273925,110.145754807007,82.4158126650334
"92","rno-miR-153-3p",-0.38978122144824,5.04166333253819,3.86539105094279,0.0713996331212046,0.626298955747958,236,249,207,169,200,216,34.7166034787568,39.941313196278,30.6395949481024,21.1024529538166,25.9471742772691,33.2744215619574
"93","rno-miR-214-3p",1.52345908992725,1.96355481330802,7.39903251422037,0.0744368664853876,0.628191021240389,4,8,6,7,29,26,0.588417008114521,1.2832550424507,0.888104201394273,0.874066098678794,3.76234027020402,4.00525444727265
"94","rno-miR-764-5p",1.29317141600707,2.17348292324494,7.00991436718966,0.0813526827042984,0.628191021240389,13,6,9,41,11,28,1.91235527637219,0.962441281838023,1.33215630209141,5.11953000654722,1.4270945852498,4.3133509432167
"95","rno-miR-337-3p",1.1586715438262,2.37558556308249,4.47394139205254,0.0788706164801806,0.628191021240389,12,13,13,10,34,50,1.76525102434356,2.08528944398238,1.92422576968759,1.24866585525542,4.41101962713575,7.70241239860126
"96","rno-miR-199a-5p",0.961231235472529,4.9802550717194,4.45965451783673,0.0736851954393928,0.628191021240389,122,137,136,135,486,243,17.9467187474929,21.9757426019682,20.1303618982702,16.8569890459482,63.051633493764,37.4337242572021
"97","rno-miR-370-5p",0.808276847259339,4.1670525588262,3.95126507703655,0.0817348912394558,0.628191021240389,106,49,76,79,168,191,15.5930507150348,7.85993713501052,11.2493198843275,9.86446025651781,21.7956263929061,29.4232153626568
"98","rno-miR-3557-3p",0.486408164739847,4.37501789567393,5.38483198303371,0.0739036567715483,0.628191021240389,108,80,122,139,184,159,15.8872592190921,12.832550424507,18.0581187616836,17.3564553880503,23.8714003350876,24.493671427552
"99","rno-miR-760-3p",0.482876352096261,4.33491340357811,4.16914215269261,0.0805030583431609,0.628191021240389,133,68,101,195,176,107,19.5648655198078,10.9076678608309,14.9497540568036,24.3489841774807,22.8335133639968,16.4831625330067
"100","rno-miR-378a-5p",0.476913020958657,4.39032956393159,5.07947781475465,0.0779053024774229,0.628191021240389,112,80,123,139,185,162,16.4756762272066,12.832550424507,18.2061361285826,17.3564553880503,24.0011362064739,24.9558161714681
"101","rno-miR-676",0.353456691925803,8.31352395329839,3.70112799852963,0.0787563648320762,0.628191021240389,2416,1332,1780,2818,3153,1970,355.403872901171,213.661964568041,263.470913080301,351.874038010977,409.057202481148,303.475048504889
"102","rno-miR-125b-5p",0.170516640890481,12.6628685811188,3.6244914554441,0.0796968897998549,0.628191021240389,42464,36214,42156,55699,56115,41338,6246.63495814376,5808.9747634137,6239.82011899616,6954.94394718716,7280.12842284479,6368.04647466757
"103","rno-miR-191a-5p",-0.17179515068323,11.8528037346861,3.70799321270285,0.0766952742047069,0.628191021240389,25808,24344,27327,28786,25821,22651,3796.46653635489,3904.94509417747,4044.87058525022,3594.40953093825,3349.90993506683,3489.34686481434
"104","rno-miR-345-5p",-0.607829220160517,3.77436088903234,6.55520164827758,0.0778425758855743,0.628191021240389,100,84,96,50,74,77,14.710425202863,13.4741779457323,14.2096672223084,6.2433292762771,9.60045448258958,11.8617150938459
"105","rno-miR-142-3p",-0.898651134208887,2.86360507533922,9.87388449054244,0.0796388733646848,0.628191021240389,44,51,41,23,29,28,6.47258708925973,8.1807508956232,6.06871204286087,2.87193146708746,3.76234027020402,4.3133509432167
"106","rno-miR-6331",0.786334744601074,6.84735961979234,4.07039549355946,0.0847627353799343,0.631457312435486,613,525,504,803,692,1557,90.1749064935504,84.213612160827,74.600752917119,100.26786817701,89.7772229993512,239.853122092443
"107","rno-miR-7a-2-3p",0.396171194872967,4.88549382318889,3.51705246857415,0.0837707311131475,0.631457312435486,182,131,159,215,202,266,26.7729738692107,21.0133013201302,23.5347613369482,26.8463158879915,26.2066460200418,40.9768339605587
"108","rno-miR-3588",0.168003526633373,12.648556926655,3.50001264033045,0.0844397834919933,0.631457312435486,42037,35865,41851,55213,55476,40841,6183.82144252753,5752.99276218678,6194.67482209196,6894.25878662175,7197.22720102891,6291.48449542548
"109","rno-miR-3068-5p",-0.249839226896203,7.83797129135555,3.47859901064465,0.0852897733029342,0.631457312435486,1634,1634,1598,1841,1551,1238,240.368347814782,262.104842420555,236.531752304675,229.879383952523,201.220336520222,190.711730989367
"110","rno-miR-674-3p",0.322880667637499,7.45192464701227,3.40080669374282,0.0884662523110453,0.637430942991192,1027,1019,991,1722,1710,912,151.076066833403,163.454611032158,146.685210596954,215.020260274983,221.848340070651,140.492002150487
"111","rno-miR-450b-5p",0.257135415968252,6.64401871979934,3.40649762042206,0.0882290628315018,0.637430942991192,602,560,604,811,882,679,88.5567597212355,89.8278529715488,89.4024896070235,101.266800861215,114.427038562757,104.598760373005
"112","rno-miR-138-5p",-0.218051598926253,9.33935192853818,3.41156235841134,0.0880186208518741,0.637430942991192,4168,4595,4950,4966,4356,3937,613.130522455331,737.069615007619,732.685966150275,620.087463719841,565.129455758922,606.487952265863
"113","rno-miR-129-1-3p",-0.247968602548938,9.18818358014583,3.30753826374358,0.0924661847733416,0.654563255369181,3990,4190,4283,3749,3775,4135,586.945965594235,672.104828483553,633.958382428612,468.124829135257,489.752914483455,636.989505364324
